2096406,C
2096406,C
1984014,C
1984014,C
1949417,C
1949417,C
2042928,C
2042928,C
1940295,C
1940295,C
1928226,C
1928226,C
2045008,C
2045008,C
2076508,C
2076508,C
1880022,C
1880022,C
1940527,C
1940527,C
2065938,C
2065938,C
2014497,C
2014497,C
1998939,C
1998939,C
2048483,C
2048483,C
2000821,C
2000821,C
2056179,C
2056179,C
2000692,C
2000692,C
1944502,C
1944502,C
1955492,C
1955492,C
1967377,C
1967377,C
1963036,C
1963036,C
2099740,C
2099740,C
1840241,C
1840241,C
2002343,C
2002343,C
2027571,C
2027571,C
1956189,C
1956189,C
2099098,C
2099098,C
1855160,C
1855160,C
2008949,C
2008949,C
2013388,C
2013388,C
1880842,C
1880842,C
2028159,C
2028159,C
1977537,C
1977537,C
1981308,C
1981308,C
2110231,C
2110231,C
2028612,C
2028612,C
2203669,C
2203669,C
1989303,C
1989303,C
1798484,C
1798484,C
2114137,C
2114137,C
2085745,C
2085745,C
1929394,C
1929394,C
2018400,C
2018400,C
2008724,C
2008724,C
2105723,C
2105723,C
2075902,C
2075902,C
1973574,C
1973574,C
2023427,C
2023427,C
1994061,C
1994061,C
1909009,C
1909009,C
2172602,C
2172602,C
2086379,C
2086379,C
2084822,C
2084822,C
1918901,C
1918901,C
2004597,C
2004597,C
1948253,C
1948253,C
1962710,C
1962710,C
1991146,C
1991146,C
2088286,C
2088286,C
2099622,C
2099622,C
1881900,C
1881900,C
2186085,C
2186085,C
1935742,C
1935742,C
1969323,C
1969323,C
2147723,C
2147723,C
2144635,C
2144635,C
2029792,C
2029792,C
1908026,C
1908026,C
2006068,C
2006068,C
1963081,C
1963081,C
1866049,C
1866049,C
1908487,C
1908487,C
1772066,C
1772066,C
1945228,C
1945228,C
1980479,C
1980479,C
1944001,C
1944001,C
2083529,C
2083529,C
2035353,C
2035353,C
1971776,C
1971776,C
1954000,C
1954000,C
1917321,C
1917321,C
2049597,C
2049597,C
2140704,C
2140704,C
2027979,C
2027979,C
1860994,C
1860994,C
2104220,C
2104220,C
1969986,C
1969986,C
1925007,C
1925007,C
2079601,C
2079601,C
2204009,C
2204009,C
2162170,C
2162170,C
2060835,C
2060835,C
1918004,C
1918004,C
2012861,C
2012861,C
2148573,C
2148573,C
1910469,C
1910469,C
2097487,C
2097487,C
1918549,C
1918549,C
2015879,C
2015879,C
2105535,C
2105535,C
2059357,C
2059357,C
1917116,C
1917116,C
1769902,C
1769902,C
2248416,C
2248416,C
2005169,C
2005169,C
2003062,C
2003062,C
2120254,C
2120254,C
2067494,C
2067494,C
2005450,C
2005450,C
1950053,C
1950053,C
1860862,C
1860862,C
1902221,C
1902221,C
1971901,C
1971901,C
1978365,C
1978365,C
